id,asal,ulasan,ulasan_normalized,ulasan_clean,rating,word_count,catatan_pemeriksa
42142,perlu_konfirmasi_ronde2,"berhenti gw make ni aplikasi, lelet banget ga pernah dapet dapet driver ngorder makanan telat mulu akhirnya ga dapet driver nunggu lama lama buang buang waktu aja, niatnya make ni aplikasi biar cepet biar ga keluar eh malah lama, mana ga bisa di cancel lagi",berhenti saya pakai ini aplikasi lelet banget tidak pernah dapat dapat pengemudi memesan makanan telat terus akhirnya tidak dapat pengemudi menunggu lama lama buang buang waktu aja niatnya pakai ini aplikasi biar cepat biar tidak keluar eh malah lama mana tidak bisa di batal lagi,henti pakai aplikasi lelet banget tidak pernah dapat dapat pengemudi pesan makan telat terus akhir tidak dapat pengemudi tunggu lama lama buang buang waktu aja niat pakai aplikasi biar cepat biar tidak keluar eh malah lama mana tidak bisa batal,1,45,
60696,perlu_konfirmasi_ronde2,Sekarang gojeknya nggak dapet pemudi Saya mau beli makanan nggak bisa terus sekarang 😤😤😡😡 Sekarang saya mau beli makanan belum dapat-dapat pemudian Sekarang sulit dapat Pemudian Pusing aku nih gojeknya lemot,sekarang gojeknya tidak dapat pengemudi saya mau beli makanan tidak bisa terus sekarang sekarang saya mau beli makanan belum dapat dapat pengemudi sekarang sulit dapat pengemudi pusing aku nih gojeknya lemot,sekarang gojek tidak dapat pengemudi mau beli makan tidak bisa terus sekarang sekarang mau beli makan belum dapat dapat pengemudi sekarang sulit dapat pengemudi pusing aku nih gojek lemot,1,31,
60768,perlu_konfirmasi_ronde2,Ribet gak bisa auto detect dan kurang sensitif di Map padahal udah diupdate. Tentunya Gmapnsudah aktif juga ya dan ini tidak sekali...,ribet tidak bisa auto detect dan kurang sensitif di map padahal sudah diupdate tentunya google maps sudah aktif juga ya dan ini tidak sekali,ribet tidak bisa auto detect kurang sensitif map padahal diupdate tentu google maps aktif tidak sekali,2,24,
61510,perlu_konfirmasi_ronde2,"Min, kenapa setelah saya langganan gojek plus, pesanan gofood saya malah lebih mahal? Yang sebelumnya bisa dianterin pake mode hemat ekonomis malah jadi cuma bisa pake yang reguler dan express, yang dimana keduanya lebih mahal biaya pengirimannya daripada yang mode hemat ekonomis. Mohon direspon min.",min kenapa setelah saya langganan gojek plus pesanan gofood saya malah lebih mahal yang sebelumnya bisa diantar pakai mode hemat ekonomis malah jadi cuma bisa pakai yang reguler dan ekspres yang dimana keduanya lebih mahal biaya pengirimannya daripada yang mode hemat ekonomis mohon direspon min,min langgan gojek plus pesan gofood malah lebih mahal sebelumnya bisa antar pakai mode hemat ekonomis malah jadi cuma bisa pakai reguler ekspres dua lebih mahal biaya kirim mode hemat ekonomis mohon direspon min,1,45,
61770,perlu_konfirmasi_ronde2,Ka akun sya knp jd ga dpt promo sma skali ya.....,ka akun saya kenapa jadi tidak dapat promo sama sekali ya,ka akun jadi tidak dapat promo sama sekali,4,11,
63490,perlu_konfirmasi_ronde2,"Gojek buruk, padahal pinjaman gua gak pernah telat. Tapi malah gak bisa dipakai lagi paylater nya. B#ngasd gojek gak guna.",gojek buruk padahal pinjaman saya tidak pernah telat tapi malah tidak bisa dipakai lagi paylater nya b gojek tidak guna,gojek buruk padahal pinjam tidak pernah telat malah tidak bisa pakai paylater nya b gojek tidak,1,20,
64884,perlu_konfirmasi_ronde2,"Setelah di update kenapa dapet drivernya selalu jauh ya, saya tau kalo ada sistem prioritas tapi ini juga kasian buat para drivernya kalo lokasi nya terlalu jauh, sering banget dapet yg jauh jauh itu tolong dibenahi lagi sistem nya terimakasih",setelah di pembaruan kenapa dapat pengemudinya selalu jauh ya saya tahu kalau ada sistem prioritas tapi ini juga kasihan buat para pengemudinya kalau lokasi nya terlalu jauh sering banget dapat yang jauh jauh itu tolong dibenahi lagi sistem nya terima kasih,baru dapat pengemudi selalu jauh tahu kalau ada sistem prioritas kasihan buat pengemudi kalau lokasi nya terlalu jauh sering banget dapat jauh jauh benahi sistem nya terima kasih,3,41,
71339,perlu_konfirmasi_ronde2,Bagaimana cara bua kasi tau ke aplikasi gojek/gocar kalau ada penutupan jalan..,bagaimana cara buat kasi tahu ke aplikasi gojek gocar kalau ada penutupan jalan,bagaimana cara buat kasi tahu aplikasi gojek gocar kalau ada tutup jalan,4,13,
73538,perlu_konfirmasi_ronde2,"Saya mau verif paylater udh 2x coba tetep ga di setujui, blgnya dana informasi saya salah, salah bagaimana? ya saya mengisi sesuai tpi malah gabisa bisa, skrg disuru tunggu sampe 2025,aneh, jelek ni aplikasi, ribet",saya mau verif paylater sudah x coba tetap tidak di setujui bilangnya dana informasi saya salah salah bagaimana ya saya mengisi sesuai tapi malah tidak bisa bisa sekarang disuruh tunggu sampai aneh jelek ini aplikasi ribet,mau verif paylater x coba tetap tidak tuju bilang dana informasi salah salah bagaimana isi sesuai malah tidak bisa bisa sekarang suruh tunggu aneh jelek aplikasi ribet,1,36,
76162,perlu_konfirmasi_ronde2,"Jangan hanya fokus menyenangkan customer donk, kasihan driver ongkosnya dipotong habis untuk Voucher yg dibebankan ke Driver... Anda sudah dapat penghasilan yg sangat banyak, kenapa Voucher masih dibebankan ke Driver!!!. Hei pembuat kebijakan perusahaan... Masak Voucher 100% harus ditanggung Driver. Terus keuntungan anda Ratusan Juta dari driver bagaimana!!!",jangan hanya fokus menyenangkan pelanggan dong kasihan pengemudi ongkosnya dipotong habis untuk voucher yang dibebankan ke pengemudi anda sudah dapat penghasilan yang sangat banyak kenapa voucher masih dibebankan ke pengemudi hei pembuat kebijakan perusahaan masak voucher harus ditanggung pengemudi terus keuntungan anda ratusan juta dari pengemudi bagaimana,jangan fokus senang pelanggan dong kasihan pengemudi ongkos potong habis voucher beban pengemudi dapat hasil sangat banyak voucher beban pengemudi hei pembuat kebijakan usaha masak voucher harus tanggung pengemudi terus untung ratus juta pengemudi bagaimana,1,47,
81421,perlu_konfirmasi_ronde2,"Pelayanannya semakin ke sini sangat mengecewakan. pesan gosend sameday dari pagi. dapat driver sore. klo tidak bisa melayani customer dengan baik, lebih baik di tutup saja layanannya. sangat mengecewakan sekali.",pelayanannya semakin ke sini sangat mengecewakan pesan gosend sameday dari pagi dapat pengemudi sore kalau tidak bisa melayani pelanggan dengan baik lebih baik di tutup saja layanannya sangat mengecewakan sekali,layan makin sini sangat kecewa pesan gosend sameday pagi dapat pengemudi sore kalau tidak bisa layan pelanggan baik lebih baik tutup layan sangat kecewa sekali,1,30,
90409,perlu_konfirmasi_ronde2,Bintang 1 aja,bintang aja,bintang aja,1,2,
90770,perlu_konfirmasi_ronde2,Udh download gk bisa masuk,sudah unduh tidak bisa masuk,unduh tidak bisa masuk,5,5,
91913,perlu_konfirmasi_ronde2,"Apa gopay bisa dibuat premium,dr mn cara, setahu kita apk DANA yg bisa dibuat premium dgn cara verifikasi data kita",apa gopay bisa dibuat premium dari mana cara setahu kita aplikasi dana yang bisa dibuat premium dengan cara verifikasi data kita,apa gopay bisa buat premium mana cara tahu aplikasi dana bisa buat premium cara verifikasi data,1,21,
93802,perlu_konfirmasi_ronde2,"Kalo gojek gak bisa ngasih kesejahteraan drivernya,JANGAN MENGEMIS KE KONSUMEN UNTUK KASIH TIP KE DRIVER.MEMALUKAN KATANYA PT TAPI KOK NGEMIS🤣🤣🤣",kalau gojek tidak bisa memberi kesejahteraan pengemudinya jangan mengemis ke konsumen untuk kasih tip ke pengemudi memalukan katanya pt tapi kok ngemis,kalau gojek tidak bisa beri sejahtera pengemudi jangan mengemis konsumen kasih tip pengemudi malu kata pt kok ngemis,1,22,
95918,perlu_konfirmasi_ronde2,"upgrade gojek + , gada bedanya sama gojek biasa, kalau mau bisnis jgn ngibulin konsumen 😁.semoga sukses terus. GBU😇",upgrade gojek tidak ada bedanya sama gojek biasa kalau mau bisnis jangan menipu konsumen semoga sukses terus gbu,upgrade gojek tidak ada beda sama gojek biasa kalau mau bisnis jangan tipu konsumen moga sukses terus gbu,1,18,
96555,perlu_konfirmasi_ronde2,Di hp saya kenapa tidak ada gojek plus ya ?,di ponsel saya kenapa tidak ada gojek plus ya,ponsel tidak ada gojek plus,5,9,
99477,perlu_konfirmasi_ronde2,"Harga bersahabat, pelayanan ramah, aman dan nyaman itu utk ojolnya. Punya banyak menu seperi gopay pinjam, gopay later. Gopay pinjam saya diksh limit, bgitu diajukan tidak bisa ditarik dan hebatnya 1th kmudian baru bisa dipakai, hello... ga usah pnya menu pinjam kalo ga mao ksh pinjam. Aneh kan. Jadi saya turunin bintangnya yah..",harga bersahabat pelayanan ramah aman dan nyaman itu untuk ojek onlinenya punya banyak menu seperti gopay pinjam gopay later gopay pinjam saya dikasih limit begitu diajukan tidak bisa ditarik dan hebatnya tahun kemudian baru bisa dipakai hello tidak usah punya menu pinjam kalau tidak mau kasih pinjam aneh kan jadi saya turunin bintangnya ya,harga sahabat layan ramah aman nyaman ojek onlinenya punya banyak menu gopay pinjam gopay later gopay pinjam kasih limit aju tidak bisa tarik hebat tahun kemudian baru bisa pakai hello tidak usah punya menu pinjam kalau tidak mau kasih pinjam aneh kan jadi turunin bintang,3,54,
99677,perlu_konfirmasi_ronde2,"Tolong perbaiki bug connectivity issue, sering sekali ketika order GoCar/GoFood/Pembayaran muncul pop up koneksi internet hilang padahal jaringan stabil. Sudah menggunakan update terbaru dan masih sering terjadi.",tolong perbaiki bug connectivity issue sering sekali ketika order gocar gofood pembayaran muncul pop up koneksi internet hilang padahal jaringan stabil sudah menggunakan pembaruan terbaru dan masih sering terjadi,perbaiki bug connectivity issue sering sekali order gocar gofood bayar muncul pop up koneksi internet hilang padahal jaring stabil guna baru baru sering jadi,1,29,
73201,acak_baru,Banyak diskonannnyaaa mantabbb,banyak diskonanya mantap,banyak diskonanya mantap,5,3,
51784,acak_baru,"Aduh setelah update terbaru aplikasi nya jadi berat nih, padahal hp saya masih baru, UI untuk scrolling nya lag padahal pake native bulan flutter gojek nya, tolong ya developer lebih di optimalkan lagi 👍🏻",aduh setelah pembaruan terbaru aplikasi nya jadi berat nih padahal ponsel saya masih baru ui untuk scrolling nya lag padahal pakai native bulan flutter gojek nya tolong ya developer lebih di optimalkan lagi,aduh baru baru aplikasi nya jadi berat nih padahal ponsel baru ui scrolling nya lag padahal pakai native bulan flutter gojek nya developer lebih optimal,1,33,
74800,acak_baru,"Aplikasi jahatt, driver nya juga sebagian kurang penegasan seenaknya",aplikasi jahatt pengemudi nya juga sebagian kurang penegasan seenaknya,aplikasi jahatt pengemudi nya bagi kurang tegas enak,1,9,
4855,acak_baru,"semakin kesini semakin gk jelas gojek, lama sekali dapat driver mungkin banyak kena potongan makannya orderan saya gk diambil payah",semakin kesini semakin tidak jelas gojek lama sekali dapat pengemudi mungkin banyak kena potongan makannya orderan saya tidak diambil payah,makin kesini makin tidak jelas gojek lama sekali dapat pengemudi mungkin banyak kena potong makan order tidak ambil payah,1,20,
73694,acak_baru,Ok,oke,oke,5,1,
6993,acak_baru,aplikasi gembel. masa download bukti/struk aja gak bisa. payah IT nya.,aplikasi gembel masa unduh bukti struk aja tidak bisa payah it nya,aplikasi gembel masa unduh bukti struk aja tidak bisa payah it nya,1,12,
50554,acak_baru,Repot pembayaran kbm lewat gpay selalu gagal,repot pembayaran kbm lewat gpay selalu gagal,repot bayar kbm lewat gpay selalu gagal,2,7,
3923,acak_baru,Aplikasi nya tambah parah.... order food aj mesti nunggu satu jam baru dapat driver nya ....,aplikasi nya tambah parah order food saja mesti menunggu satu jam baru dapat pengemudi nya,aplikasi nya tambah parah order food mesti tunggu satu jam baru dapat pengemudi nya,1,15,
68886,acak_baru,Gojek online preman semua isi nya,gojek online preman semua isi nya,gojek online preman semua isi nya,1,6,
74031,acak_baru,"kocak jir , masa tf ke qris ga bisa mohon bantuannya 🙏🙏🙏",kocak jir masa transfer ke qris tidak bisa mohon bantuannya,kocak jir masa transfer qris tidak bisa mohon bantu,1,10,
15314,acak_baru,sangat membantu,sangat membantu,sangat bantu,5,2,
24156,acak_baru,ok,oke,oke,5,1,
42968,acak_baru,nice apps,bagus aplikasi,bagus aplikasi,5,2,
35782,acak_baru,puas dengan pelayan driver,puas dengan pelayan pengemudi,puas layan pengemudi,5,4,
61794,acak_baru,Go-jek memang 👍💯,go jek memang,go jek memang,5,3,
43521,acak_baru,Payah ada potongan digopay tanpa disejutuin .,payah ada potongan digopay tanpa disejutuin,payah ada potong digopay tanpa disejutuin,1,6,
72560,acak_baru,"Mau bayar tagihan gopay latter udah jatuh tempo,tapi loading mulu.padahal wiffi internet bagus,nyoba pake data ttp loading Gie mna ini solusi nya.nanti giliran telat saya kena denda.mau di bayar tapi gak bisa loading Mulu tolong di perbaiki gopay nya..",mau bayar tagihan gopay latter sudah jatuh tempo tapi loading terus padahal wiffi internet bagus mencoba pakai data tetap loading gie mna ini solusi nya nanti giliran telat saya kena denda mau di bayar tapi tidak bisa loading terus tolong di perbaiki gopay nya,mau bayar tagih gopay latter jatuh tempo loading terus padahal wiffi internet bagus coba pakai data tetap loading gie mna solusi nya gilir telat kena denda mau bayar tidak bisa loading terus perbaiki gopay nya,2,44,
91666,acak_baru,App ini memang luar biasa sangat puas gunakan aplikasi gojek jika bertransaksi segalanya beres Joss mantap saya sangat suka dan puas trimakasih developer.,aplikasi ini memang luar biasa sangat puas gunakan aplikasi gojek jika bertransaksi segalanya beres mantap mantap saya sangat suka dan puas terima kasih developer,aplikasi memang luar biasa sangat puas guna aplikasi gojek transaksi segala beres mantap mantap sangat suka puas terima kasih developer,5,24,
34975,acak_baru,Gojek Aplikasi terbaik dan Tercepat untuk Solusi anda2 yg Ngebut dengan Waktu👍🏾❤️,gojek aplikasi terbaik dan tercepat untuk solusi anda yang ngebut dengan waktu,gojek aplikasi terbaik cepat solusi ngebut waktu,5,12,
11082,acak_baru,good,bagus,bagus,5,1,
75218,acak_baru,👌,,,5,0,
34134,acak_baru,terimakasih,terima kasih,terima kasih,5,2,
95832,acak_baru,Semangat pagi pagi pagi ✊✊✊✊,semangat pagi pagi pagi,semangat pagi pagi pagi,4,4,
22443,acak_baru,ada mode hematnya jadi nya bisa. hemat,ada mode hematnya jadi nya bisa hemat,ada mode hemat jadi nya bisa hemat,5,7,
70626,acak_baru,banyakin promonya dong,perbanyak promonya dong,banyak promonya dong,5,3,
46954,acak_baru,Gojeg mahal saya sudah pindah ke grab... Saya sarankan pindah ke grab..di daerah saya sudah banyak pindah ke grab,gojek mahal saya sudah pindah ke grab saya sarankan pindah ke grab di daerah saya sudah banyak pindah ke grab,gojek mahal pindah grab saran pindah grab daerah banyak pindah grab,1,20,
75517,acak_baru,Bagus dan banyak diskon dan driver nya baik semua,bagus dan banyak diskon dan pengemudi nya baik semua,bagus banyak diskon pengemudi nya baik semua,5,9,
81772,acak_baru,Saya suka aplikasi ini,saya suka aplikasi ini,suka aplikasi,5,4,
3488,acak_baru,sangat bagus danpuas banget,sangat bagus danpuas banget,sangat bagus danpuas banget,5,4,
86555,acak_baru,Top,top,top,5,1,
30542,acak_baru,Udah seneng ada diskon 70k eh php tiba-tiba di hapus lawak.,sudah seneng ada diskon k eh pemberi harapan palsu tiba tiba di hapus lawak,neng ada diskon k eh beri harap palsu tiba tiba hapus lawak,1,14,
12810,acak_baru,"baik, mudahh",baik mudahh,baik mudahh,5,2,
49925,acak_baru,"Sangat bagus dan membantu,tapi jangan menyusahkan.",sangat bagus dan membantu tapi jangan menyusahkan,sangat bagus bantu jangan susah,5,7,
2938,acak_baru,bagus,bagus,bagus,5,1,
11644,acak_baru,order gofood nya cepet walau pake yg ekonomis,order gofood nya cepat walau pakai yang ekonomis,order gofood nya cepat pakai ekonomis,5,8,
10375,acak_baru,baik ... tapi entah untuk drivernya,baik tapi entah untuk pengemudinya,baik entah pengemudi,4,5,
37064,acak_baru,udah nunggu lama selalu gak ada driver nya atau dibatalin,sudah menunggu lama selalu tidak ada pengemudi nya atau dibatalkan,tunggu lama selalu tidak ada pengemudi nya batal,1,10,
71985,acak_baru,Mantapzzz,mantapz,mantapz,5,1,
27409,acak_baru,HERAN LIAT BANTUANNYA MAU NGASIH PENJELASAN LAGI GK BISA,heran liat bantuannya mau memberi penjelasan lagi tidak bisa,heran liat bantu mau beri jelas tidak bisa,1,9,
