id,asal,ulasan,ulasan_normalized,ulasan_clean,rating,word_count,menjadi_kosong,catatan_pemeriksa
19793,ditandai_putaran_1,👍,bagus,bagus,4,1,False,
19967,ditandai_putaran_1,"aplikasi lemot , banyak gangguan",aplikasi lemot banyak gangguan,aplikasi lemot banyak ganggu,1,4,False,
20425,ditandai_putaran_1,👍🏻,bagus,bagus,5,1,False,
27702,ditandai_putaran_1,"sangat disayangkan untuk pelayana gomartnya,terutama bagi belanja Indomie goreng, tertera haga diskon persatuan 1900rupiah,setelah cek out dan belanja jadi 40.900.biaya penanganan sampai bisa 28.800 itu jebakan.ngerampok apa bagaimana bos....?????",sangat disayangkan untuk pelayanan gomartnya terutama bagi belanja indomie goreng tertera harga diskon persatuan rupiah setelah cek out dan belanja jadi biaya penanganan sampai bisa itu jebakan ngerampok apa bagaimana bos,sangat disayangkan layan gomartnya utama belanja indomie goreng tera harga diskon satu rupiah cek out belanja jadi biaya penanganan jebak ngerampok apa bagaimana bos,3,31,False,
30713,ditandai_putaran_1,👍👍👍👍,bagus bagus bagus bagus,bagus bagus bagus bagus,5,4,False,
34081,ditandai_putaran_1,aplikasi semaunya sendiri,aplikasi semaunya sendiri,aplikasi semaunya sendiri,1,3,False,
34452,ditandai_putaran_1,pelayanan memuaskan,pelayanan memuaskan,layan puas,5,2,False,
35719,ditandai_putaran_1,"Klo cari gocar lama bngt 1 jam , dan aps nya sering eror",kalau cari gocar lama sangat jam dan aplikasi nya sering error,kalau cari gocar lama sangat jam aplikasi nya sering error,2,11,False,
36734,ditandai_putaran_1,good aplication,bagus aplikasi,bagus aplikasi,5,2,False,
39692,ditandai_putaran_1,kelamaan order go food nunggu lama ga bisa di cancel giliran udah menit terakhir dicancel toko karena gaada driver,kelamaan order go food menunggu lama tidak bisa di batal giliran sudah menit terakhir dibatalkan toko karena tidak ada pengemudi,lama order go food tunggu lama tidak batal gilir menit akhir batal toko tidak pengemudi,2,20,False,
40164,ditandai_putaran_1,fitur untuk pesanan makanan yang masuk ke resto yang gak dibarengi driver yang pick up sangat merugikan. Baik bagi customers dan restoran. Bagaimana kalau makanan sudah dibuat tapi tidak ada driver yang bisa pick up? Bagaimana dengan customers yang sudah menunggu lama tapi asal dibatalkan dengan CS yang tidak menyelesaikan keluhan customers. Sangat tidak profesional.,fitur untuk pesanan makanan yang masuk ke restoran yang tidak dibarengi pengemudi yang pick up sangat merugikan baik bagi pelanggan dan restoran bagaimana kalau makanan sudah dibuat tapi tidak ada pengemudi yang bisa pick up bagaimana dengan pelanggan yang sudah menunggu lama tapi asal dibatalkan dengan layanan pelanggan yang tidak menyelesaikan keluhan pelanggan sangat tidak profesional,fitur pesan makan masuk restoran tidak bareng pengemudi pick up sangat rugi baik pelanggan restoran bagaimana kalau makan buat tidak pengemudi pick up bagaimana pelanggan tunggu lama asal batal layan pelanggan tidak selesai keluh pelanggan sangat tidak profesional,1,56,False,
41332,ditandai_putaran_1,"saya 2x order beda hari susahhhhhhh sekali dapat dtivernya emang tidak ada armada atau bagaimana, klo tidak ada armada mending jangan buka aplikasi yahhh, ini tadi barusan order ya 2x hampir 1 jam ga dapat driver juga aduhhhhhhh parahhh sih tolong ya diperbaiki lagiiiiiii !!!!!!",saya x order beda hari susah sekali dapat dtivernya memang tidak ada armada atau bagaimana kalau tidak ada armada mending jangan buka aplikasi ya ini tadi barusan order ya x hampir jam tidak dapat pengemudi juga aduh parah sih tolong ya diperbaiki lagi,x order beda hari susah sekali dtivernya memang tidak armada bagaimana kalau tidak armada mending jangan buka aplikasi tadi barusan order x hampir jam tidak pengemudi aduh parah sih baik,1,43,False,
42142,ditandai_putaran_1,"berhenti gw make ni aplikasi, lelet banget ga pernah dapet dapet driver ngorder makanan telat mulu akhirnya ga dapet driver nunggu lama lama buang buang waktu aja, niatnya make ni aplikasi biar cepet biar ga keluar eh malah lama, mana ga bisa di cancel lagi",berhenti saya pakai ini aplikasi lelet banget tidak pernah dapat dapat pengemudi ngorder makanan telat terus akhirnya tidak dapat pengemudi menunggu lama lama buang buang waktu aja niatnya pakai ini aplikasi biar cepat biar tidak keluar eh malah lama mana tidak bisa di batal lagi,henti pakai aplikasi lelet banget tidak pernah pengemudi ngorder makan telat terus akhir tidak pengemudi tunggu lama lama buang buang waktu aja niat pakai aplikasi biar cepat biar tidak keluar eh malah lama mana tidak batal,1,45,False,
49960,ditandai_putaran_1,Emang the best la gopay👍👍,memang the terbaik gopay bagus bagus,memang the terbaik gopay bagus bagus,5,6,False,
50075,ditandai_putaran_1,"driver arogan, kurng ramah",pengemudi arogan kurang ramah,pengemudi arogan kurang ramah,1,4,False,
54375,ditandai_putaran_1,orange ramah menyenangkan,orang ramah menyenangkan,orang ramah senang,5,3,False,
57235,ditandai_putaran_1,😎,keren,keren,5,1,False,
60768,ditandai_putaran_1,Ribet gak bisa auto detect dan kurang sensitif di Map padahal udah diupdate. Tentunya Gmapnsudah aktif juga ya dan ini tidak sekali...,ribet tidak bisa auto detect dan kurang sensitif di map padahal sudah diupdate tentunya gmapnsudah aktif juga ya dan ini tidak sekali,ribet tidak auto detect kurang sensitif map padahal diupdate tentu gmapnsudah aktif tidak sekali,2,22,False,
61770,ditandai_putaran_1,Ka akun sya knp jd ga dpt promo sma skali ya.....,ka akun saya kenapa jadi tidak dapat promo sama sekali ya,ka akun jadi tidak promo sama sekali,4,11,False,
63121,ditandai_putaran_1,Driver tepat waktu,pengemudi tepat waktu,pengemudi tepat waktu,5,3,False,
63588,ditandai_putaran_1,😍😍😍,suka suka suka,suka suka suka,5,3,False,
64884,ditandai_putaran_1,"Setelah di update kenapa dapet drivernya selalu jauh ya, saya tau kalo ada sistem prioritas tapi ini juga kasian buat para drivernya kalo lokasi nya terlalu jauh, sering banget dapet yg jauh jauh itu tolong dibenahi lagi sistem nya terimakasih",setelah di pembaruan kenapa dapat pengemudinya selalu jauh ya saya tau kalau ada sistem prioritas tapi ini juga kasihan buat para pengemudinya kalau lokasi nya terlalu jauh sering banget dapat yang jauh jauh itu tolong dibenahi lagi sistem nya terima kasih,baru pengemudi selalu jauh tau kalau sistem prioritas kasihan buat pengemudi kalau lokasi nya terlalu jauh sering banget jauh jauh benah sistem nya terima kasih,3,41,False,
66599,ditandai_putaran_1,"Tiap pagi order buat anak sekolah, tapi selalu di kasih driver yang jauhnya lebih dari 1 km, giliran order lebih cepet sambil siap-siap biar kalo dapet driver jauh bisa sambil nunggu driver nyampe malah di kasih driver yang deket & jadi bikin driver nunggu, aplikasi konyol emang, bukan utamain yang deket dulu biar lebih cepet sampe, malah mental jauh banget, jemput penumpang aja 15 menit sendiri, belum di perjalanannya",tiap pagi order buat anak sekolah tapi selalu di kasih pengemudi yang jauhnya lebih dari kilometer giliran order lebih cepat sambil siap siap biar kalau dapat pengemudi jauh bisa sambil menunggu pengemudi sampai malah di kasih pengemudi yang dekat jadi bikin pengemudi menunggu aplikasi konyol memang bukan utamain yang dekat dulu biar lebih cepat sampai malah mental jauh banget jemput penumpang aja menit sendiri belum di perjalanannya,tiap pagi order buat anak sekolah selalu kasih pengemudi jauh lebih kilometer gilir order lebih cepat siap siap biar kalau pengemudi jauh tunggu pengemudi malah kasih pengemudi dekat jadi bikin pengemudi tunggu aplikasi konyol memang bukan utamain dekat dulu biar lebih cepat malah mental jauh banget jemput penumpang aja menit sendiri belum jalan,1,67,False,
69162,ditandai_putaran_1,"Halah.... saat gerimis, pesan terus lama menunggu konfirmasi. Maaf lagi laris manis... anjay",halah saat gerimis pesan terus lama menunggu konfirmasi maaf lagi laris manis anjay,halah gerimis pesan terus lama tunggu konfirmasi maaf laris manis anjay,4,13,False,
76700,ditandai_putaran_1,memudahkan bagi yg tdk punya kendaraan sendri,memudahkan bagi yang tidak punya kendaraan sendiri,mudah tidak punya kendara sendiri,5,7,False,
80297,ditandai_putaran_1,Ntapss,mantap,mantap,5,1,False,
82200,ditandai_putaran_1,"Gofood bagusan yang dulu langsung dapat driver, kalau sekarang selalu telat",gofood bagusan yang dulu langsung dapat pengemudi kalau sekarang selalu telat,gofood bagus dulu langsung pengemudi kalau sekarang selalu telat,2,11,False,
84937,ditandai_putaran_1,Sangat efisien dan memudahkan pelanggan,sangat efisien dan memudahkan pelanggan,sangat efisien mudah pelanggan,5,5,False,
85199,ditandai_putaran_1,Sikap drivernya oke,sikap pengemudinya oke,sikap pengemudi oke,5,3,False,
86412,ditandai_putaran_1,"Tolong jangan kayak isrewel setiap akhir bulan spam iklan di hp orang, mau disumpai cepet bangkrut",tolong jangan kayak isrewel setiap akhir bulan spam iklan di ponsel orang mau disumpai cepat bangkrut,jangan kayak isrewel akhir bulan spam iklan ponsel orang mau disumpai cepat bangkrut,1,16,False,
87071,ditandai_putaran_1,Saya di Cikarang. Pesannya di Sidoarjo. Jadi kasian kan drivernya,saya di cikarang pesannya di sidoarjo jadi kasihan kan pengemudinya,cikarang pesan sidoarjo jadi kasihan kan pengemudi,1,10,False,
88703,ditandai_putaran_1,Gojek drivernya ramah ramah,gojek pengemudinya ramah ramah,gojek pengemudi ramah ramah,5,4,False,
89578,ditandai_putaran_1,Nunggu kelamaan datengnya...,menunggu kelamaan datangnya,tunggu lama datang,5,3,False,
91913,ditandai_putaran_1,"Apa gopay bisa dibuat premium,dr mn cara, setahu kita apk DANA yg bisa dibuat premium dgn cara verifikasi data kita",apa gopay bisa dibuat premium dari mana cara setahu kita aplikasi dana yang bisa dibuat premium dengan cara verifikasi data kita,apa gopay buat premium mana cara tahu aplikasi dana buat premium cara verifikasi data,1,21,False,
92732,ditandai_putaran_1,"Admin ga balas keluhan,fitur transfer bug ga di balas"" Hdehh",admin tidak balas keluhan fitur transfer bug tidak di balas hdehh,admin tidak balas keluh fitur transfer bug tidak balas hdehh,1,11,False,
94893,ditandai_putaran_1,Susah sekali menguhungi layanan bantuan. Mau batalkan order karena resto turup. Layanan jelek tidak membantu.,susah sekali menghubungi layanan bantuan mau batalkan order karena restoran tutup layanan jelek tidak membantu,susah sekali hubung layan bantu mau batal order restoran tutup layan jelek tidak bantu,1,15,False,
99477,ditandai_putaran_1,"Harga bersahabat, pelayanan ramah, aman dan nyaman itu utk ojolnya. Punya banyak menu seperi gopay pinjam, gopay later. Gopay pinjam saya diksh limit, bgitu diajukan tidak bisa ditarik dan hebatnya 1th kmudian baru bisa dipakai, hello... ga usah pnya menu pinjam kalo ga mao ksh pinjam. Aneh kan. Jadi saya turunin bintangnya yah..",harga bersahabat pelayanan ramah aman dan nyaman itu untuk ojek onlinenya punya banyak menu seperi gopay pinjam gopay later gopay pinjam saya dikasih limit begitu diajukan tidak bisa ditarik dan hebatnya tahun kemudian baru bisa dipakai hello tidak usah punya menu pinjam kalau tidak mau kasih pinjam aneh kan jadi saya turunin bintangnya ya,harga sahabat layan ramah aman nyaman ojek onlinenya punya banyak menu per gopay pinjam gopay later gopay pinjam kasih limit aju tidak tarik hebat tahun kemudian baru pakai hello tidak usah punya menu pinjam kalau tidak mau kasih pinjam aneh kan jadi turunin bintang,3,54,False,
73538,acak_baru,"Saya mau verif paylater udh 2x coba tetep ga di setujui, blgnya dana informasi saya salah, salah bagaimana? ya saya mengisi sesuai tpi malah gabisa bisa, skrg disuru tunggu sampe 2025,aneh, jelek ni aplikasi, ribet",saya mau verif paylater sudah x coba tetap tidak di setujui blgnya dana informasi saya salah salah bagaimana ya saya mengisi sesuai tapi malah tidak bisa bisa sekarang disuru tunggu sampai aneh jelek ini aplikasi ribet,mau verif paylater x coba tetap tidak tuju blgnya dana informasi salah salah bagaimana isi sesuai malah tidak sekarang disuru tunggu aneh jelek aplikasi ribet,1,36,False,
2533,acak_baru,Driver Gocar terkadang susah untuk nganter konsumen dengan alasan jauh lah jemput nya & sebagai nya. Inti nya Driver tidak mau jemput tapi lucu nya saat minta pembatalan harus konsumen yang ngebatalin. Pada hal konsumen mau menunggu.,pengemudi gocar terkadang susah untuk mengantar konsumen dengan alasan jauh lah jemput nya sebagai nya inti nya pengemudi tidak mau jemput tapi lucu nya saat minta pembatalan harus konsumen yang membatalkan pada hal konsumen mau menunggu,pengemudi gocar terkadang susah antar konsumen alas jauh lah jemput nya nya inti nya pengemudi tidak mau jemput lucu nya minta batal konsumen batal konsumen mau tunggu,4,36,False,
36329,acak_baru,sangat memuaskan aplikasi dan sistem pelayanan nya agar ditingkatkan lagi,sangat memuaskan aplikasi dan sistem pelayanan nya agar ditingkatkan lagi,sangat puas aplikasi sistem layan nya tingkat,5,10,False,
99677,acak_baru,"Tolong perbaiki bug connectivity issue, sering sekali ketika order GoCar/GoFood/Pembayaran muncul pop up koneksi internet hilang padahal jaringan stabil. Sudah menggunakan update terbaru dan masih sering terjadi.",tolong perbaiki bug connectivity issue sering sekali ketika order gocar gofood pembayaran muncul pop up koneksi internet hilang padahal jaringan stabil sudah menggunakan pembaruan terbaru dan masih sering terjadi,baik bug connectivity issue sering sekali order gocar gofood bayar muncul pop up koneksi internet hilang padahal jaring stabil guna baru baru sering jadi,1,29,False,
24413,acak_baru,tolong kalo memang gabisa tepat waktu jangan kasih kami keterangan itu hilangkan saja terutama go food pengantaran express resto nyiapin lama datang telat gaada kenapa napa tapi di suruh bayar lebih buat pengantaran express,tolong kalau memang tidak bisa tepat waktu jangan kasih kami keterangan itu hilangkan saja terutama go food pengantaran ekspres restoran nyiapin lama datang telat tidak ada kenapa napa tapi di suruh bayar lebih buat pengantaran ekspres,kalau memang tidak tepat waktu jangan kasih terang hilang utama go food antar ekspres restoran nyiapin lama datang telat tidak napa suruh bayar lebih buat antar ekspres,1,36,False,
95918,acak_baru,"upgrade gojek + , gada bedanya sama gojek biasa, kalau mau bisnis jgn ngibulin konsumen 😁.semoga sukses terus. GBU😇",upgrade gojek tidak ada bedanya sama gojek biasa kalau mau bisnis jangan ngibulin konsumen senang semoga sukses terus gbu,upgrade gojek tidak beda sama gojek biasa kalau mau bisnis jangan ngibulin konsumen senang moga sukses terus gbu,1,19,False,
53577,acak_baru,Mantap aplikasinya,mantap aplikasinya,mantap aplikasi,5,2,False,
1576,acak_baru,veri good,veri bagus,veri bagus,5,2,False,
81421,acak_baru,"Pelayanannya semakin ke sini sangat mengecewakan. pesan gosend sameday dari pagi. dapat driver sore. klo tidak bisa melayani customer dengan baik, lebih baik di tutup saja layanannya. sangat mengecewakan sekali.",pelayanannya semakin ke sini sangat mengecewakan pesan gosend sameday dari pagi dapat pengemudi sore kalau tidak bisa melayani pelanggan dengan baik lebih baik di tutup saja layanannya sangat mengecewakan sekali,layan makin sini sangat kecewa pesan gosend sameday pagi pengemudi sore kalau tidak layan pelanggan baik lebih baik tutup layan sangat kecewa sekali,1,30,False,
61510,acak_baru,"Min, kenapa setelah saya langganan gojek plus, pesanan gofood saya malah lebih mahal? Yang sebelumnya bisa dianterin pake mode hemat ekonomis malah jadi cuma bisa pake yang reguler dan express, yang dimana keduanya lebih mahal biaya pengirimannya daripada yang mode hemat ekonomis. Mohon direspon min.",min kenapa setelah saya langganan gojek plus pesanan gofood saya malah lebih mahal yang sebelumnya bisa dianterin pakai mode hemat ekonomis malah jadi cuma bisa pakai yang reguler dan ekspres yang dimana keduanya lebih mahal biaya pengirimannya daripada yang mode hemat ekonomis mohon direspon min,min langgan gojek plus pesan gofood malah lebih mahal belum dianterin pakai mode hemat ekonomis malah jadi cuma pakai reguler ekspres dua lebih mahal biaya kirim mode hemat ekonomis mohon direspon min,1,45,False,
55312,acak_baru,Baguss,bagus,bagus,5,1,False,
2693,acak_baru,pesan gofood.. drivernya dikasih double order jdi sampenya lama.. tolong dong gofood di benahin lg buat sistem double ordernya,pesan gofood pengemudinya dikasih ganda order jadi sampenya lama tolong dong gofood di benahin lagi buat sistem ganda ordernya,pesan gofood pengemudi kasih ganda order jadi sampenya lama dong gofood benahin buat sistem ganda order,2,19,False,
90770,acak_baru,Udh download gk bisa masuk,sudah unduh tidak bisa masuk,unduh tidak masuk,5,5,False,
73457,acak_baru,bagus aja,bagus aja,bagus aja,5,2,False,
37915,acak_baru,"banyak diskon, semoga lebih banyak diskon lagi",banyak diskon semoga lebih banyak diskon lagi,banyak diskon moga lebih banyak diskon,5,7,False,
81629,acak_baru,Yg penting diskonnya..,yang penting diskonnya,penting diskon,5,3,False,
41792,acak_baru,utk pelayanan masyarakat sangat baik,untuk pelayanan masyarakat sangat baik,layan masyarakat sangat baik,5,5,False,
18388,acak_baru,bagus,bagus,bagus,5,1,False,
57230,acak_baru,Keren,keren,keren,5,1,False,
50298,acak_baru,GOOD,bagus,bagus,5,1,False,
35033,acak_baru,ok trimakasih,oke terima kasih,oke terima kasih,5,3,False,
41059,acak_baru,bagus. membantu,bagus membantu,bagus bantu,5,2,False,
16630,acak_baru,"fakta dilapangan, orderan gofood baru akan di proses setelah driver sampai ke resto harusnya waktu menunggu dapat driver 10menit paling lama, kemudian aktifkan untuk cancel orderan jgn pelanggan yg dibuat menunggu sampai 1jam baru bisa di cancel keburu naik asam lambung",fakta dilapangan orderan gofood baru akan di proses setelah pengemudi sampai ke restoran harusnya waktu menunggu dapat pengemudi menit paling lama kemudian aktifkan untuk batal orderan jangan pelanggan yang dibuat menunggu sampai jam baru bisa di batal keburu naik asam lambung,fakta lapang order gofood baru proses pengemudi restoran harus waktu tunggu pengemudi menit paling lama kemudian aktif batal order jangan pelanggan buat tunggu jam baru batal keburu naik asam lambung,1,41,False,
2520,acak_baru,kadang lama kalo pesan,kadang lama kalau pesan,kadang lama kalau pesan,5,4,False,
17359,acak_baru,mantap,mantap,mantap,5,1,False,
31279,acak_baru,Terima kasih gojek udah di terima,terima kasih gojek sudah di terima,terima kasih gojek terima,5,6,False,
76162,acak_baru,"Jangan hanya fokus menyenangkan customer donk, kasihan driver ongkosnya dipotong habis untuk Voucher yg dibebankan ke Driver... Anda sudah dapat penghasilan yg sangat banyak, kenapa Voucher masih dibebankan ke Driver!!!. Hei pembuat kebijakan perusahaan... Masak Voucher 100% harus ditanggung Driver. Terus keuntungan anda Ratusan Juta dari driver bagaimana!!!",jangan hanya fokus menyenangkan pelanggan dong kasihan pengemudi ongkosnya dipotong habis untuk voucher yang dibebankan ke pengemudi anda sudah dapat penghasilan yang sangat banyak kenapa voucher masih dibebankan ke pengemudi hei pembuat kebijakan perusahaan masak voucher harus ditanggung pengemudi terus keuntungan anda ratusan juta dari pengemudi bagaimana,jangan fokus senang pelanggan dong kasihan pengemudi ongkos potong habis voucher beban pengemudi hasil sangat banyak voucher beban pengemudi hei buat bijak usaha masak voucher tanggung pengemudi terus untung ratus juta pengemudi bagaimana,1,47,False,
32857,acak_baru,"gojek stop mending stop kerjasama findaya,",gojek stop mending stop kerjasama findaya,gojek stop mending stop kerjasama findaya,1,6,False,
1434,acak_baru,Bagus sekali,bagus sekali,bagus sekali,5,2,False,
16466,acak_baru,kenapa ongkir Go-Jek naik lagi biasanya 7 rb menjadi 14,kenapa ongkos kirim go gojek naik lagi biasanya ribu menjadi,ongkos kirim go gojek naik biasa ribu jadi,3,10,False,
2365,acak_baru,Bagus dan baik,bagus dan baik,bagus baik,5,3,False,
37183,acak_baru,mantapp salam satu aspal,mantap salam satu aspal,mantap salam satu aspal,5,4,False,
20149,acak_baru,"tolong bilang gojeknya atau gosend""TOLONG YANG RAMAH YA PAK""",tolong bilang gojeknya atau gosend tolong yang ramah ya pak,bilang gojek gosend ramah pak,2,10,False,
93802,acak_baru,"Kalo gojek gak bisa ngasih kesejahteraan drivernya,JANGAN MENGEMIS KE KONSUMEN UNTUK KASIH TIP KE DRIVER.MEMALUKAN KATANYA PT TAPI KOK NGEMIS🤣🤣🤣",kalau gojek tidak bisa memberi kesejahteraan pengemudinya jangan mengemis ke konsumen untuk kasih tip ke pengemudi memalukan katanya pt tapi kok ngemis,kalau gojek tidak beri sejahtera pengemudi jangan emis konsumen kasih tip pengemudi malu kata pt kok ngemis,1,22,False,
96555,acak_baru,Di hp saya kenapa tidak ada gojek plus ya ?,di ponsel saya kenapa tidak ada gojek plus ya,ponsel tidak gojek plus,5,9,False,
97547,acak_baru,Sangat terbagus,sangat terbagus,sangat bagus,5,2,False,
63490,acak_baru,"Gojek buruk, padahal pinjaman gua gak pernah telat. Tapi malah gak bisa dipakai lagi paylater nya. B#ngasd gojek gak guna.",gojek buruk padahal pinjaman gua tidak pernah telat tapi malah tidak bisa dipakai lagi paylater nya b gojek tidak guna,gojek buruk padahal pinjam gua tidak pernah telat malah tidak pakai paylater nya b gojek tidak,1,20,False,
33974,acak_baru,Mantappp,mantap,mantap,5,1,False,
92198,acak_baru,Mantap.,mantap,mantap,5,1,False,
31246,acak_baru,gak ada solusi saya ingin ganti nomor hp tapi tetap gak bisa padahan no baru belum pernah di pakai gojek,tidak ada solusi saya ingin ganti nomor ponsel tapi tetap tidak bisa padahan nomor baru belum pernah di pakai gojek,tidak solusi ganti nomor ponsel tetap tidak padah nomor baru belum pernah pakai gojek,1,20,False,
90409,acak_baru,Bintang 1 aja,bintang aja,bintang aja,1,2,False,
91407,acak_baru,Semuanya ok...,semuanya oke,semua oke,5,2,False,
87442,acak_baru,mantap,mantap,mantap,5,1,False,
92734,acak_baru,Bagus,bagus,bagus,5,1,False,
98211,acak_baru,Mantab,mantap,mantap,5,1,False,
