no,review_id,ulasan,penilai,penilai_semua,otomatis_utama,otomatis_semua,jaccard,sepakat_longgar
25,53327,"Kangen gojek yg dl, skrg bru telat 4 hari krna taun baruan,yg nagihnya ky renternir ngancam2 ga sopan ,neror2,.pdhl udh dkomunikasiih tggu 3hri lg ,hati2 kawan dlm pemakainannya.. pdhl sy setia sm gojek,ga prnh brmasalah, tp skrg jd males bgt sm aplksi ini .. mna skrg promonya kbnyakan syaratnya.. ga ky dl.. promonya ga bnyak syarat","GoPayLater, GoPinjam & Penagihan","GoPayLater, GoPinjam & Penagihan | Tarif, Ongkir & Promo","GoPayLater, GoPinjam & Penagihan","GoPayLater, GoPinjam & Penagihan | Ketersediaan & Respons Mitra Driver",0.3333333333333333,True
26,55972,"jelek,pdhl no baru gaada dpt promo sm diskon","Tarif, Ongkir & Promo","Tarif, Ongkir & Promo","Akun, Login & Verifikasi","Akun, Login & Verifikasi | Layanan Pelanggan & Penanganan Keluhan | Tarif, Ongkir & Promo",0.3333333333333333,True
27,57418,"jangan langganan Go Plus guys!!!! Di iklan potongan 10rb tau nya 10% max 10rb. Nyesel banget mana beli yg 90hr. Tau nya dama voucher yg biasa dapet malah murahan voucher langganan bukan go plus. Akhirnya ga ke pake. Gtu jg go food dan lain2. Gpp dah, anggep sedekah sm fakir miskin aja ke gojek, makan itu uang saya.","Tarif, Ongkir & Promo","Tarif, Ongkir & Promo",Transaksi & Saldo GoPay,"Pesanan GoFood & Pembatalan | Tarif, Ongkir & Promo | Transaksi & Saldo GoPay",0.3333333333333333,True
28,58766,"lagi hujan dikit susah bgt dapat driver mau gojek/gocar sampe nunggu hampir sejam buat dapat driver, selalu dicancel sepihak, padahal udah pilih opsi harga tanpa promo",Ketersediaan & Respons Mitra Driver,Ketersediaan & Respons Mitra Driver,Pesanan GoFood & Pembatalan,"Ketersediaan & Respons Mitra Driver | Pesanan GoFood & Pembatalan | Tarif, Ongkir & Promo",0.3333333333333333,True
29,60085,Tidak dapat login ke perangkat baru karena lupa password padahal nomer hp nya sesuai dan mendapatkan kode OTP juga. Tapi tetep aja susah login,"Akun, Login & Verifikasi","Akun, Login & Verifikasi","Akun, Login & Verifikasi","Akun, Login & Verifikasi | Akurasi Lokasi & Rute | Ketersediaan & Respons Mitra Driver | Performa & Gangguan Aplikasi",0.25,True
30,60289,"GAJELAS ini main potong otomatis deposit orang, lagi promo apaan, mau belanja harga sama aja dgn yg yg ga ada plusnya, mau beli yg ada info promo harga juga sama dgn yg ga ada promo, mau pake plus atau tidak harga juga sama, lain kali ga usah di bedakan, tahu2 sudah kepotong saja deposit, baru mudeng sekarang lagi, masih murah tenan sebelah, uninstall juga deh","Tarif, Ongkir & Promo","Tarif, Ongkir & Promo | Transaksi & Saldo GoPay",Transaksi & Saldo GoPay,"Tarif, Ongkir & Promo | Transaksi & Saldo GoPay",1.0,True
31,61322,Sekarang gopaylater parah banget telat 1 hari aja denda 50 RB . Dulu masih mending manusiawi 12 500 denda keterlambatan . Cari cuan banget. Dah kaya rentenir.,"GoPayLater, GoPinjam & Penagihan","GoPayLater, GoPinjam & Penagihan","GoPayLater, GoPinjam & Penagihan","GoPayLater, GoPinjam & Penagihan | Ketersediaan & Respons Mitra Driver | Tarif, Ongkir & Promo",0.3333333333333333,True
32,63099,"Udah nunggu setengah jam buat dapat driver di gofood dibatalin juga ga bisa, statusnya ga berubah chat cs juga percuma ga ada solusi",Pesanan GoFood & Pembatalan,Layanan Pelanggan & Penanganan Keluhan | Pesanan GoFood & Pembatalan,Layanan Pelanggan & Penanganan Keluhan,Layanan Pelanggan & Penanganan Keluhan | Pesanan GoFood & Pembatalan,1.0,True
33,63416,"Saya mengaktifkan gopay pinjam di aplikasi ini. Sudah beberapa kali pinjam dan bayarnya ontime. Tapi kemarin saya bener2 lupa ada tagihan, saya ditelp sama penagih namanya Sekar, saya sudah bilang iya saya lupa dan saya lagi nyetir, dan tetap di chat terus2an tdk ada sejam, pdhal tidak ada sejam dr dia tlp. Saya ngerasa diteror, pdhal saya br telat sehari dan sebelum2nya bayarnya juga lancar. Jangan pernah aktifin deh pinjaman di sini, sudah bunga tinggi, telat sehari di teror terus2an dan galak","GoPayLater, GoPinjam & Penagihan","GoPayLater, GoPinjam & Penagihan","GoPayLater, GoPinjam & Penagihan","Akun, Login & Verifikasi | GoPayLater, GoPinjam & Penagihan | Pesanan GoFood & Pembatalan | Transaksi & Saldo GoPay",0.25,True
34,63754,Mampersulit...,TIDAK ADA YANG COCOK,TIDAK ADA YANG COCOK,TIDAK ADA YANG COCOK,,1.0,True
35,68866,"Sekarang ribet buat pindahin akun k HP yg lain, sudah semilyar x verifikasi wajah gx masuk juga","Akun, Login & Verifikasi","Akun, Login & Verifikasi","Akun, Login & Verifikasi","Akun, Login & Verifikasi | Transaksi & Saldo GoPay",0.5,True
36,69833,"sering dapet bug, waktu driver ngantar makanan ga dapet notifikasi. kadang titik driver tidak sesuai, driver sudah di jalan tapi titik masih stuck di satu tempat. tolong perbaiki, gara-gara ga dapet notif jadi sering driver yang nunggu",Performa & Gangguan Aplikasi,Akurasi Lokasi & Rute | Performa & Gangguan Aplikasi,Akurasi Lokasi & Rute,Akurasi Lokasi & Rute | Layanan Pelanggan & Penanganan Keluhan | Pesanan GoFood & Pembatalan,0.25,False
37,72781,pesen mentang² daerah agak terpencil gk ada yang mau di tolak terus kaya gk di bayar aja,Ketersediaan & Respons Mitra Driver,Ketersediaan & Respons Mitra Driver,Ketersediaan & Respons Mitra Driver,"GoPayLater, GoPinjam & Penagihan | Ketersediaan & Respons Mitra Driver | Pesanan GoFood & Pembatalan",0.3333333333333333,True
38,72867,"Saya gak bayar bpjs kesehatan lewat go paylater, tpi knp ad d billing tagihan ya, tolong d respon, terimakasih","GoPayLater, GoPinjam & Penagihan","GoPayLater, GoPinjam & Penagihan","GoPayLater, GoPinjam & Penagihan","GoPayLater, GoPinjam & Penagihan | Layanan Pelanggan & Penanganan Keluhan",0.5,True
39,73667,Maps ngawur parah.,Akurasi Lokasi & Rute,Akurasi Lokasi & Rute,TIDAK ADA YANG COCOK,,0.0,False
40,75891,"CS cuma robot. Handling complain ga pake rasional. Komplain pesanan GoFood. Ada barang yang kurang. Sudah di foto makanannya dan bukti struknya. Responnya CSnya lama. Waktu respon bolak balik minta foto ulang, padahal sudah difoto semua. Come on. Makanan yg sampai udah dimakan lah. Harus nunggu CSnya respon, baru saya bisa makan? Mending kalo responnya cepat. Parah kalo ngadepin robot.",Layanan Pelanggan & Penanganan Keluhan,Layanan Pelanggan & Penanganan Keluhan | Pesanan GoFood & Pembatalan,Layanan Pelanggan & Penanganan Keluhan,Akurasi Lokasi & Rute | Layanan Pelanggan & Penanganan Keluhan | Pesanan GoFood & Pembatalan,0.6666666666666666,True
41,77387,"Udah ongkir ga ngotak, trs sekarang klo go food malah nunggu makanannya jadi baru dapet driver otaknya dimana? Nunggu 1 jam ga dianter anter",Pesanan GoFood & Pembatalan,"Pesanan GoFood & Pembatalan | Tarif, Ongkir & Promo",Pesanan GoFood & Pembatalan,"Pesanan GoFood & Pembatalan | Tarif, Ongkir & Promo | Transaksi & Saldo GoPay",0.6666666666666666,True
42,81104,ga bisa pake ovo bayar nya,TIDAK ADA YANG COCOK,TIDAK ADA YANG COCOK,"GoPayLater, GoPinjam & Penagihan","GoPayLater, GoPinjam & Penagihan",0.0,False
43,90156,"Kesel udah sering banget pesanan saya dibatalkan, dilihat disekitar juga ada mobil tapi gak mau pick pesanan saya. Udah berkali-kali sering kyk gini. Kesel kesel kesel",Ketersediaan & Respons Mitra Driver,Ketersediaan & Respons Mitra Driver,Ketersediaan & Respons Mitra Driver,Ketersediaan & Respons Mitra Driver,1.0,True
44,91458,Ini kenapa waktu colldown login nya lama sekali padahal saya butuh cepet,"Akun, Login & Verifikasi","Akun, Login & Verifikasi","Akun, Login & Verifikasi","Akun, Login & Verifikasi | Pesanan GoFood & Pembatalan",0.5,True
45,92218,"Pernah ga sengaja terklik dan langsung ingin cancle tapi tidak bisa, terkadang saat lagi laper-lapernya malah ga dapet driver. Kadang agak heran sama aplikasi yang satu ini",Pesanan GoFood & Pembatalan,Ketersediaan & Respons Mitra Driver | Pesanan GoFood & Pembatalan,Layanan Pelanggan & Penanganan Keluhan,Layanan Pelanggan & Penanganan Keluhan,0.0,False
46,92250,"Auto uninstal go food udah ga pernah dapet promo voucher pembayaran pake gopay giliran promo pke tunai minimal belanja 300 ribu, lah ga jelas... Adanya voucher pembayaran pake Bank Mega, permata, Mayapada, CIMB, lah itu gopay buat apa...","Tarif, Ongkir & Promo","Tarif, Ongkir & Promo | Transaksi & Saldo GoPay",Transaksi & Saldo GoPay,"GoPayLater, GoPinjam & Penagihan | Pesanan GoFood & Pembatalan | Tarif, Ongkir & Promo | Transaksi & Saldo GoPay",0.5,True
47,93347,Gajelas gocek masa maps ga terdetek,Akurasi Lokasi & Rute,Akurasi Lokasi & Rute,TIDAK ADA YANG COCOK,,0.0,False
48,93953,"Masih banyak driver gak mau ambil alasan harga terlalu murah, padahal harga yang ada yang saya pilih. Sangat merugikan ditambah driver tidak mau cancel dengan alasan rating turun, jika dari sisi penumpang ya sama rating kami yang turun dan menjadi mahal ongkosnya.",Ketersediaan & Respons Mitra Driver,"Ketersediaan & Respons Mitra Driver | Tarif, Ongkir & Promo",Layanan Pelanggan & Penanganan Keluhan,"Ketersediaan & Respons Mitra Driver | Layanan Pelanggan & Penanganan Keluhan | Tarif, Ongkir & Promo",0.6666666666666666,True
49,94582,bosok,TIDAK ADA YANG COCOK,TIDAK ADA YANG COCOK,TIDAK ADA YANG COCOK,,1.0,True
50,96932,Mendung susah cari driver belum lagi biayanya nambah² terus,Ketersediaan & Respons Mitra Driver,"Ketersediaan & Respons Mitra Driver | Tarif, Ongkir & Promo",Ketersediaan & Respons Mitra Driver,"Ketersediaan & Respons Mitra Driver | Tarif, Ongkir & Promo",1.0,True
